Unit MaStR Number,Postal Code,Longitude,Latitude,Gross Power (kW),Net Rated Power (kW),Generation MaStR Number,Name of Wind Farm,Location,Hub Height (m),Rotor Diameter (m),EEG MaStR Number,Date of Final Decommissioning,North Sea Cluster,Baltic Sea Cluster
SEE923823394999,54611,6.42948,50.34419,500,500,SGE964642793389,Windpark Hallschlag,888,70,46,EEG946614130279,,,
SEE946651292589,24969,9.157667,54.711414,2000,2000,SGE923569827904,Axelsen und Jepsen Co. OHG Linnauer Windkraftgesellschaft,888,69,80,EEG947527509732,8/8/2022,,
SEE998929495550,,13.096126,54.950259,3780,3780,SGE930194532806,Baltic 2,889,78.25,120,EEG933649767365,,,1542
SEE941065714924,54597,6.495148,50.140246,600,600,SGE979129469398,Windpark Eifel-Fonds Nr. 3 GmbH ??? Co. KG,888,70,48,EEG917764223234,12/28/2020,,
SEE925071756697,24969,9.156857,54.714614,2000,2000,SGE954086908128,Axelsen und Jepsen Co. OHG Linnauer Windkraftgesellschaft,888,69,80,EEG906352761180,2/23/2022,,
SEE901918302777,16230,13.705331,52.696339,3075,3075,SGE974353593758,Windpark Tempelfelde,888,140,112,EEG928318782275,,,
SEE949476503595,17498,13.349188,54.057558,3075,3075,SGE982693359194,BMB Windpark Helmshagen,888,94,112,EEG958439828514,,,
SEE934670196575,74592,9.939018,49.186133,3300,3300,SGE943993051928,Windpark Kirchberg,888,137,126,EEG998972730370,,,
SEE927962800113,,13.101726,54.964647,3780,3780,SGE946321400696,Baltic 2,889,78.25,120,EEG980683207418,,,1542
SEE984100708458,24969,9.148674,54.709897,2000,2000,SGE921681265505,Windkraft Nord-Linnau GmbH ??? Co. KG,888,69,80,EEG979165997084,3/4/2022,,
SEE946770297779,74544,9.788426,49.059187,3300,3300,SGE944272770202,Windpark Kohlenstra??e,888,137,126,EEG964655318586,,,
SEE941324537936,,13.104696,54.958302,3780,3780,SGE930801652958,Baltic 2,889,78.25,120,EEG940997765738,,,1542
SEE960169905861,24969,9.151425,54.706551,2000,2000,SGE921681265505,Windkraft Nord-Linnau GmbH ??? Co. KG,888,69,80,EEG952406307187,5/6/2021,,
SEE947813172213,,13.107649,54.951958,3780,3780,SGE996464599764,Baltic 2,889,78.25,120,EEG905706612543,,,1542
SEE964143830071,21702,9.370711,53.387689,3000,3000,SGE951503153765,Windpark Ottendorf-Kohlenhausen-Oersdorf,888,149.08,115.71,EEG966018893686,,,
SEE930413030182,52538,6.058261,50.99152,600,600,SGE947822176325,Windpark Gangelt Nr. 4 GmbH ??? Co. KG,888,70,48,EEG921224132875,,,
SEE964678044066,52538,6.066533,50.99177,600,600,SGE947822176325,Windpark Gangelt Nr. 4 GmbH ??? Co. KG,888,70,48,EEG912416123429,,,
SEE924752487943,21423,10.105765,53.324465,1500,1500,SGE967798610654,WP Pattensen,888,111.5,77,EEG900935110105,,,
SEE953375055024,16230,13.681389,52.685833,3075,3075,SGE990042981798,Windpark Willmersdorf III,888,140,112,EEG971777747705,,,
SEE936427779307,66484,7.45952,49.168909,2300,2300,SGE942115849610,Windpark Riedelberg II,888,138.4,82,EEG953687582447,,,
SEE986386280444,16230,13.682222,52.682778,3075,3075,SGE954490606276,Windpark Willmersdorf III,888,140,112,EEG993260871506,,,
SEE994749457228,,13.110516,54.972073,3780,3780,SGE979607150268,Baltic 2,889,78.25,120,EEG915459343656,,,1542
SEE909330551360,52538,6,50,600,600,SGE947822176325,Windpark Gangelt Nr. 4 GmbH ??? Co. KG,888,70,48,EEG931425409843,1/22/2021,,
SEE939127209532,16230,13.682778,52.679722,3075,3075,SGE943779239182,Windpark Willmersdorf III,888,140,112,EEG963652136810,,,
SEE960110044649,52538,6.061029,50.990366,600,600,SGE947822176325,Windpark Gangelt Nr. 4 GmbH ??? Co. KG,888,70,48,EEG921272009525,,,
SEE907944700785,,13.113295,54.966121,3780,3780,SGE946339056793,Baltic 2,889,78.25,120,EEG942748004424,,,1542
SEE933000113107,52538,6,50,600,600,SGE971811323605,WEA Gangelt GmbH ??? Co. KG,888,70,48,EEG982746201678,12/30/2020,,
SEE999266004177,39638,11.426974,52.553119,4200,4200,SGE950415983972,Windpark Gardelegen I,888,158.95,141,EEG989192348735,,,
SEE931077426458,14641,12.82604,52.58567,750,750,SGE904622098752,Ecomill Windpark GmbH ??? Co. Nauen I KG,888,73.9,52,EEG969450454286,,,
SEE933817413773,16356,13.6735,52.680433,3075,3075,SGE959441214975,Windpark Willmersdorf II,888,140,112,EEG973922064538,,,
SEE987105580579,,13.116073,54.960169,3780,3780,SGE948528464037,Baltic 2,889,78.25,120,EEG951390080328,,,1542
SEE991010994116,14641,12.82524,52.58341,750,750,SGE904622098752,Ecomill Windpark GmbH ??? Co. Nauen I KG,888,73.9,52,EEG962251509575,,,
SEE950049394311,,13.11885,54.954,3780,3780,SGE920426085743,Baltic 2,889,78.25,120,EEG910881103311,,,1542
SEE930689471047,,13.118792,54.978853,3780,3780,SGE940603173537,Baltic 2,889,78.25,120,EEG971009181024,,,1542
SEE923885990375,16356,13.688053,52.684017,3075,3075,SGE959441214975,Windpark Willmersdorf II,888,140,112,EEG978837382036,,,
SEE947085602852,33181,8.755952,51.548782,3450,3450,SGE980130602469,WP Eilerberg,888,149,126,EEG925511190760,,,
SEE912708720442,31311,10.126958,52.396283,3300,3300,SGE972718348463,Schw??blingsen I,888,137,126,EEG912397510393,,,
SEE960038555357,16356,13.687056,52.681306,3075,3075,SGE959441214975,Windpark Willmersdorf II,888,140,112,EEG937388936709,,,
SEE907941573597,,13.121432,54.973204,3780,3780,SGE919587048353,Baltic 2,889,78.25,120,EEG907490410336,,,1542
SEE924707792825,74679,9.589939,49.32999,3300,3300,SGE923519176564,Windpark Wei??bach,888,137,126,EEG962438761468,,,
SEE914662095932,26441,7.928084,53.594408,2350,2350,SGE965411318017,WP Jever Nord,888,59,82,EEG996879383996,,,
SEE996342225778,21702,9.375958,53.389586,3000,3000,SGE951503153765,Windpark Ottendorf-Kohlenhausen-Oersdorf,888,149.08,115.71,EEG963051218810,,,
SEE960626455106,17291,14.074067,53.314134,3300,3300,SGE980823492124,CEE Windpark Schm??lln,888,137,126,EEG967726370247,,,
SEE926105806128,74679,9.600936,49.332622,3300,3300,SGE923519176564,Windpark Wei??bach,888,137,126,EEG998254614213,,,
SEE911701399211,16356,13.678693,52.678793,2000,2000,SGE916807313031,Windpark Willmersdorf - 760,888,100,80,EEG986640293609,,,
SEE931011750052,74679,9.592324,49.327029,3300,3300,SGE923519176564,Windpark Wei??bach,888,137,126,EEG934755650312,,,
SEE965100490451,74679,9.599702,49.328474,3300,3300,SGE923519176564,Windpark Wei??bach,888,137,126,EEG995942795919,,,
SEE916919352232,74679,9.607139,49.3325,3300,3300,SGE923519176564,Windpark Wei??bach,888,137,126,EEG985097517351,,,
SEE945672950522,16356,13.674989,52.677502,2000,2000,SGE916807313031,Windpark Willmersdorf - 760,888,100,80,EEG931636667568,,,
SEE943626869838,57334,8.379893,50.904465,3075,3075,SGE967230813445,Wittgenstein New Energy,888,140,112,EEG943819807265,,,
SEE908996876886,16356,13.676159,52.691162,2000,2000,SGE913243214304,Windpark Willmersdorf - 760,888,100,80,EEG998676132456,,,
SEE923722440124,31789,9.43386,52.108754,3300,3300,SGE928910063451,WP Gro?? Hilligsfeld Afferde,888,137,126,EEG986056425830,,,
SEE930053065117,17291,14.078268,53.312144,3300,3300,SGE980823492124,CEE Windpark Schm??lln,888,137,126,EEG956085914971,,,
SEE972874054147,57334,8.375686,50.912902,3075,3075,SGE967230813445,Wittgenstein New Energy,888,140,112,EEG917054614643,,,
SEE970131472758,21702,9.381122,53.387996,3000,3000,SGE951503153765,Windpark Ottendorf-Kohlenhausen-Oersdorf,888,149.08,115.71,EEG980937312882,,,
SEE933796114920,17291,14.068539,53.310864,3300,3300,SGE980823492124,CEE Windpark Schm??lln,888,137,126,EEG983563060646,,,
SEE951174741131,26345,8.052852,53.422754,2050,2050,SGE934925347325,Windpark Kr??gershamm GmbH ??? Co. KG,888,80,92,EEG983718763422,,,
SEE978287182880,17291,14.071752,53.308767,3300,3300,SGE980823492124,CEE Windpark Schm??lln,888,137,126,EEG936638698541,,,
SEE993807312660,26434,8.009061,53.694879,225,225,,WP Schillig,888,30,27,EEG915114807509,12/31/2020,,
SEE990382546671,57334,8.372163,50.916883,3075,3075,SGE967230813445,Wittgenstein New Energy,888,140,112,EEG906669250506,,,
SEE963318377458,33181,8.773156,51.550495,3450,3450,SGE906936662261,WP Eilerberg,888,149,126,EEG943296956524,,,
SEE905303353313,97450,9.903937,49.936457,3300,3300,SGE924288118311,Windpark Arnstein-Binsfeld,888,137,126,EEG945111978698,,,
SEE943811776453,1723,13.451383,50.986519,2350,2350,SGE903065357938,WP Wilsdruff-Mohorn,888,103.9,92,EEG923115168826,,,
SEE918176032896,,13.126708,54.961906,3780,3780,SGE986577436391,Baltic 2,889,78.25,120,EEG916219394390,,,1542
SEE981565075712,26345,8.055231,53.420613,3370,3370,SGE910536391131,Windpark Kr??gershamm GmbH ??? Co. KG,888,119,114,EEG975926145015,,,
SEE943113310485,21702,9.381281,53.383897,3000,3000,SGE951503153765,Windpark Ottendorf-Kohlenhausen-Oersdorf,888,149.08,115.71,EEG911067679101,,,
SEE967871073192,97450,9.908571,49.933348,3300,3300,SGE924288118311,Windpark Arnstein-Binsfeld,888,137,126,EEG999658562513,,,
SEE999100976349,99628,11.339704,51.168697,2350,2350,SGE904753798286,Windpark Olbersleben,888,138,92,EEG938338230939,,,
SEE973243563598,21702,9.382426,53.379183,3000,3000,SGE951503153765,Windpark Ottendorf-Kohlenhausen-Oersdorf,888,149.08,115.71,EEG908733331456,,,
SEE970100825608,,13.12407,54.967555,3780,3780,SGE982313110297,Baltic 2,889,78.25,120,EEG903956193904,,,1542
SEE919861746494,65520,8.316722,50.332505,3000,3000,SGE941836329487,CEE Windpark Kuhbett,888,149,115.71,EEG983703682776,,,
SEE922428377741,35325,9.005672,50.646423,3000,3000,SGE922209135270,M??cke-Atzenhain,888,149,115.71,EEG913723812761,,,
SEE957241607096,21702,9.387082,53.382206,3000,3000,SGE951503153765,Windpark Ottendorf-Kohlenhausen-Oersdorf,888,149.08,115.71,EEG992998464882,,,
SEE969935401125,21702,9.393,53.383571,3000,3000,SGE951503153765,Windpark Ottendorf-Kohlenhausen-Oersdorf,888,149.08,115.71,EEG903169165170,,,
SEE906934935688,26605,7.62508,53.492811,500,500,,Windpark Brockzetel,888,65,40,EEG932328383049,,,
SEE931924669182,21702,9.3924,53.380454,3000,3000,SGE951503153765,Windpark Ottendorf-Kohlenhausen-Oersdorf,888,149.08,115.71,EEG902828020744,,,
SEE928309443840,35759,8.1521,50.6182,500,500,,Driedorf,888,65,40.3,EEG909870077818,,,
SEE918302308420,35759,8.1585,50.6194,2300,2300,SGE979692643478,Driedorf-Madem??hlen,888,108.38,82,EEG982033716489,,,
SEE932325735018,14641,12.82451,52.581161,750,750,SGE921420788876,Ecomill Windpark GmbH ??? Co. Nauen I KG,888,73.9,52,EEG903360549540,,,
SEE952283127489,14641,12.83252,52.58847,750,750,SGE901790872078,Ecomill Windpark GmbH ??? Co. Nauen I KG,888,73.9,52,EEG931415297573,,,
SEE916767817914,14641,12.83185,52.5861,750,750,SGE934520830666,Ecomill Windpark GmbH ??? Co. Nauen I KG,888,73.9,52,EEG978186989894,,,
SEE974480580317,14641,12.83106,52.58353,750,750,SGE971480066759,Ecomill Windpark GmbH ??? Co. Nauen I KG,888,76.9,52,EEG973484168064,,,
SEE961084555834,14641,12.83018,52.581,750,750,SGE994241495551,Ecomill Windpark GmbH ??? Co. Nauen I KG,888,73.9,52,EEG937510222595,,,
SEE907248143653,14641,12.829388,52.578241,750,750,SGE957518529311,Ecomill Windpark GmbH ??? Co. Nauen I KG,888,73.9,52,EEG946939759803,,,
SEE972924417250,,13.129344,54.956257,3780,3780,SGE941515930775,Baltic 2,889,78.25,,EEG958383763497,,,1542
SEE900013535608,67294,8.04569,49.65165,3075,3075,SGE938072733246,Windpark Hungerberg - Albisheim,888,140,112,EEG998437166812,,,
SEE914135623778,91315,10.760303,49.724482,3300,3300,SGE902990598300,B??rgerwindenergie Birkach,888,149,126,EEG984133925020,,,
SEE980472806136,14641,12.8381,52.5897,750,750,SGE911290694520,Ecomill Windpark GmbH ??? Co. Nauen I KG,888,73.9,52,EEG949612389335,,,
SEE911295047949,14641,12.83732,52.58714,750,750,SGE942590364769,Ecomill Windpark GmbH ??? Co. Nauen I KG,888,73.9,52,EEG943409989647,,,
SEE929294888548,6463,11.380258,51.752009,750,750,SGE996505207993,Ecomill Windpark GmbH ??? Co. Reinstedt KG,888,73.9,52,EEG911947325913,,,
SEE921855923859,6463,11.377083,51.753139,750,750,SGE963463354724,Ecomill Windpark GmbH ??? Co. Reinstedt KG,888,73.9,52,EEG924251168411,,,
SEE901491268644,6463,11.373369,51.754006,750,750,SGE967652226069,Ecomill Windpark GmbH ??? Co. Reinstedt KG,888,73.9,52,EEG948464109870,,,
SEE933350323942,77756,8.191,48.324,4200,4200,SGE974654374698,Windpark Hohenlochen,888,159.4,138.6,EEG963341726063,,,
SEE901167427641,26446,7.86377,53.388344,1800,1800,,B??rgerwindpark Bentstreek,888,98,70,EEG977016262312,,,
SEE993126036339,,13.127045,54.985532,3780,3780,SGE981375024313,Baltic 2,889,78.25,120,EEG985459419507,,,1542
SEE915555637185,97714,10.144556,50.183472,3300,3300,SGE991253713802,Oerlenbach,888,137,126,EEG952267115600,,,
SEE934760751356,49453,8.594227,52.629221,2500,2500,SGE997664720002,WP Barver,888,100,100,EEG936438465299,,,
SEE971642106583,,13.129562,54.980142,3780,3780,SGE985166667871,Baltic 2,889,78.25,120,EEG940278810201,,,1542
SEE951314255788,26434,7.987638,53.63716,300,300,SGE933606378009,,888,35,31,EEG910865796805,,,
SEE979515959274,91315,10.766964,49.722701,3300,3300,SGE902990598300,B??rgerwindenergie Birkach,888,149,126,EEG908163750681,,,
SEE944918234914,,13.132079,54.974752,3780,3780,SGE939142013497,Baltic 2,889,78.25,120,EEG961710039516,,,1542
SEE970507628789,,13.134594,54.969371,3780,3780,SGE975471272051,Baltic 2,889,78.25,120,EEG956700818233,,,1542
SEE927573979857,67294,8.045203,49.654588,3075,3075,SGE938072733246,Windpark Hungerberg - Albisheim,888,140,112,EEG955871685941,,,
SEE997500786872,,13.137109,54.963981,3780,3780,SGE940938455704,Baltic 2,889,78.25,120,EEG959116546219,,,1542
SEE972154640503,,13.139623,54.95859,3780,3780,SGE933813668474,Baltic 2,889,78.25,120,EEG965496692514,,,1542
SEE979327730610,,13.135139,54.992335,3780,3780,SGE976322715451,Baltic 2,889,78.25,120,EEG918014865310,,,1542
SEE979637555019,67294,8.053087,49.656694,3075,3075,SGE938072733246,Windpark Hungerberg - Albisheim,888,140,112,EEG913986624217,,,
SEE912526898125,26446,7.860669,53.391048,1800,1800,,B??rgerwindpark Bentstreek,888,98,70,EEG997330309074,,,
SEE953129393419,26441,7.934126,53.58811,2350,2350,SGE984080648799,WP Jever Nord,888,59,82,EEG978662484158,,,
SEE935218641809,48163,7.603031,51.914208,3230,3230,SGE971089062152,WEA Loevelingloh,888,110,130,EEG974762757864,,,
SEE967366512601,67294,8.057692,49.650669,3075,3075,SGE911806664566,Windpark Hungerberg - Albisheim,888,140,112,EEG979774177785,,,
SEE948552814730,26446,7.857869,53.387229,1800,1800,,B??rgerwindpark Bentstreek,888,98,70,EEG906731079936,,,
SEE974002338945,67294,8.048865,49.648654,3075,3075,SGE911806664566,Windpark Hungerberg - Albisheim,888,140,112,EEG969181103484,,,
SEE994921164401,67295,8.041429,49.647127,3075,3075,SGE985359272790,Windpark Hungerberg - Albisheim,888,140,112,EEG926088107953,,,
SEE931323924219,41366,6.299239,51.227877,600,600,SGE971894721435,Windpark Schwalmtal Nr. 6 GmbH ??? Co. KG,888,70,48,EEG937421668857,12/7/2023,,
SEE927384907070,97714,10.149409,50.188837,3300,3300,SGE991253713802,Oerlenbach,888,137,126,EEG926302831954,,,
SEE953219888757,26441,7.937272,53.586351,2350,2350,SGE952191008313,WP Jever Nord,888,59,82,EEG982456971199,,,
SEE997192887703,67294,8.053542,49.652515,3075,3075,SGE911806664566,Windpark Hungerberg - Albisheim,888,140,112,EEG931002790944,,,
SEE910801313394,41366,6.300505,51.226278,600,600,SGE961186425974,Windpark Schwalmtal Nr. 6 GmbH ??? Co. KG,888,70,48,EEG930773795974,4/14/2023,,
SEE983370546999,41366,6.309239,51.224612,600,600,SGE957892214308,Windpark Schwalmtal Nr. 6 GmbH ??? Co. KG,888,70,48,EEG931400362620,12/7/2023,,
SEE949774313452,97714,10.143197,50.186148,3300,3300,SGE991253713802,Oerlenbach,888,137,126,EEG915509967481,,,
SEE921078213478,53945,6.602295,50.427194,660,660,SGE916268816058,Windpark Eifel-Fonds Nr.11 GmbH ??? Co. KG,888,50,47,EEG928817852455,,,
SEE900924483104,,13.13821,54.98588,3780,3780,SGE931091191554,Baltic 2,889,78.25,120,EEG985465230462,,,1542
SEE999602217889,67308,8.061971,49.648599,3075,3075,SGE919231495090,Windpark Hungerberg - Albisheim,888,140,112,EEG982341544095,,,
SEE922009406280,,13.140997,54.979413,3780,3780,SGE923264525167,Baltic 2,889,78.25,120,EEG975979697523,,,1542
SEE972996129310,26446,7.856016,53.390001,1800,1800,,B??rgerwindpark Bentstreek,888,98,70,EEG911902412009,,,
SEE976971387566,67308,8.068149,49.647921,3075,3075,SGE919231495090,Windpark Hungerberg - Albisheim,888,140,112,EEG953235207037,,,
SEE964230846503,26446,7.851998,53.391096,1800,1800,,B??rgerwindpark Bentstreek,888,98,70,EEG982865561110,,,
SEE954953957945,67308,8.053501,49.646794,3300,3300,SGE940097435784,Windpark Hungerberg - Albisheim,888,137,126,EEG911153239455,,,
SEE985188238677,,13.144104,54.973167,3780,3780,SGE971866685833,Baltic 2,889,78.25,120,EEG911198408519,,,1542
SEE913056720498,46286,7.029677,51.770871,600,600,,E40,888,77.9,44,EEG966981877805,,,
SEE903402087924,26446,7.851483,53.388428,1800,1800,,B??rgerwindpark Bentstreek,888,98,70,EEG944285189640,,,
SEE900511961725,26446,7.848557,53.385408,1800,1800,,B??rgerwindpark Bentstreek,888,98,70,EEG975479726761,,,
SEE909716069700,46284,6.921256,51.692305,2000,2000,,WP Dorsten-Emmelkamp,888,114,71,EEG996733073933,,,
SEE958141631075,65520,8.32242,50.329824,3000,3000,SGE941836329487,CEE Windpark Kuhbett,888,149,115.71,EEG907953310692,,,
SEE938506812240,,13.147068,54.966789,3780,3780,SGE916725593638,Baltic 2,889,78.25,120,EEG992153236736,,,1542
SEE977729981845,,13.149928,54.960378,3780,3780,SGE927568886948,Baltic 2,889,78.25,120,EEG990983103563,,,1542
SEE979817027862,54317,6.710261,49.717544,660,660,SGE956711047264,Windpark Eifel-Fonds Nr.11 GmbH ??? Co. KG,888,65,47,EEG993582781453,,,
SEE962333346746,,13.143623,54.99895,3780,3780,SGE946711552196,Baltic 2,889,78.25,120,EEG961186530685,,,1542
SEE974083118603,26446,7.846188,53.390039,1800,1800,,B??rgerwindpark Bentstreek,888,98,70,EEG905696856439,,,
SEE999275677188,,13.145769,54.993705,3780,3780,SGE948172790681,Baltic 2,889,78.25,120,EEG950829971831,,,1542
SEE921892759251,26446,7.843949,53.387157,1800,1800,,B??rgerwindpark Bentstreek,888,98,70,EEG960213457865,,,
SEE967292747641,39435,11.581131,51.96115,750,750,SGE917446949148,Windpark Borne VII GmbH ??? Co. KG,888,73.9,52,EEG961590605016,4/30/2020,,
SEE959958252668,17498,13.35292,54.062094,3075,3075,SGE982693359194,Repowering WP Helmshagen,888,94,112,EEG934085406801,,,
SEE932528350308,26446,7.842951,53.384237,1800,1800,,B??rgerwindpark Bentstreek,888,98,70,EEG905634843910,,,
SEE980056913380,49509,7.697339,52.365712,2350,2350,SGE925686668026,WEA 920391,888,104,92,EEG974930336297,,,
SEE983904502880,65520,8.326125,50.328095,3000,3000,SGE941836329487,CEE Windpark Kuhbett,888,149,115.71,EEG939661575254,,,
SEE901127159308,66484,7.46407,49.169291,2300,2300,SGE909673866060,Windpark Riedelberg II,888,138.4,82,EEG977492472113,,,
SEE954288609311,,13.14818,54.988497,3780,3780,SGE930484957418,Baltic 2,889,78.25,120,EEG989288785253,,,1542
SEE978071472210,16230,13.700086,52.695617,2000,2000,SGE934099084606,Windpark Tempelfelde - 557,888,105,90,EEG972731123382,,,
SEE968291098505,,13.150681,54.983218,3780,3780,SGE963716292254,Baltic 2,889,78.25,120,EEG909312487168,,,1542
SEE948096761200,66484,7.4593,49.166747,2300,2300,SGE967993436615,Windpark Riedelberg II,888,138.4,82,EEG966231651070,,,
SEE995408247624,,13.15306,54.978095,3780,3780,SGE979324796220,Baltic 2,889,78.25,120,EEG951264786615,,,1542
SEE997643768254,,13.155639,54.972794,3780,3780,SGE971858983183,Baltic 2,889,78.25,120,EEG962166020158,,,1542
SEE909623711792,77756,8.187089,48.331205,4200,4200,SGE974654374698,Windpark Hohenlochen,888,159.4,138.6,EEG953719719568,,,
SEE945237694755,,13.158026,54.967592,3780,3780,SGE926127651805,Baltic 2,889,78.25,120,EEG908132888902,,,1542
SEE918312806800,77756,8.181,48.334,4200,4200,SGE974654374698,Windpark Hohenlochen,888,159.4,138.6,EEG918644929550,,,
SEE927750023144,27232,8.770653,52.637929,3050,3050,SGE908343248663,---,888,135.4,101,EEG994546885767,,,
SEE989679606938,39435,11.566098,51.9579,750,750,SGE917396858750,Windpark Borne VII GmbH ??? Co. KG,888,73.9,52,EEG964789540730,,,
SEE909776522146,16230,13.710411,52.697249,2000,2000,SGE934099084606,Windpark Tempelfelde - 557,888,105,90,EEG985219658054,,,
SEE946636036245,66484,7.464524,49.167138,2300,2300,SGE987732988571,Windpark Riedelberg II,888,138.4,82,EEG944311428521,,,
SEE962871113787,26388,8.061155,53.609198,3200,3200,SGE945102836822,Wilhelmshaven 3,888,92,115.72,EEG978426340348,,,
SEE915084936230,26441,7.940418,53.589125,2350,2350,SGE903554139182,WP Jever 2,888,59,82,EEG982575496986,,,
SEE919507052293,36381,9.491416,50.4088,2000,2000,,Windpark Wallroth,888,100,80,EEG902605733669,,,
SEE982753567842,16230,13.696111,52.702222,3450,3450,SGE942702120733,Windpark Tempelfelde III,888,137,126,EEG973496539562,,,
SEE935107666050,6369,12.049945,51.662771,2000,2000,SGE949831043728,WKA C??sitz,888,78,80,EEG924677795000,,,
SEE959444107410,23730,10.791241,54.089878,500,500,,Windenergieanlage Neustadt,888,55,41,EEG933190455520,,,
SEE930455271109,65520,8.330038,50.324438,3000,3000,SGE941836329487,CEE Windpark Kuhbett,888,149,115.71,EEG941943253651,,,
SEE965250972227,36381,9.486988,50.408528,2000,2000,,Windpark Wallroth,888,100,80,EEG919457549522,,,
SEE993549890457,34454,8.942756,51.4021,2000,2000,SGE947436533453,Windpark Massenhausen,888,105,90,EEG914325573913,,,
SEE904926339698,36381,9.494927,50.410387,2000,2000,,Windpark Wallroth,888,100,80,EEG928013214231,,,
SEE939420909856,54611,6.404434,50.352122,1000,1000,SGE975471941469,Windpark Hocheifel Nr. 7 GmbH ??? Co. KG,888,68.5,62,EEG947658977400,,,
SEE905937681325,36381,9.482902,50.393244,2000,2000,SGE917908877835,Windpark Wallroth,888,105,90,EEG958647727302,,,
SEE937484223857,3238,13.769613,51.637818,600,600,,Windpark Betten,888,60,43,EEG926900226411,,,
SEE934754705327,54611,6.404461,50.346261,1000,1000,SGE975471941469,Windpark Hocheifel Nr. 7 GmbH ??? Co. KG,888,68.5,62,EEG961320350216,,,
SEE951656084794,26441,7.926982,53.591926,2350,2350,SGE922281753430,WP Jever 2,888,59,82,EEG904629154666,,,
SEE972036237975,54611,6.404772,50.348815,1000,1000,SGE921634604337,Windpark Hocheifel Nr. 7 GmbH ??? Co. KG,888,68.5,62,EEG946465457105,,,
SEE999236723992,54611,6.404434,50.352122,1000,1000,SGE921634604337,Windpark Hocheifel Nr. 7 GmbH ??? Co. KG,888,68.5,62,EEG972311116315,,,
SEE920420354197,3238,13.769613,51.637818,600,600,,Windpark Betten,888,60,43,EEG997996346307,,,
SEE981206220594,3238,13.773627,51.635513,600,600,,Windpark Betten,888,60,43,EEG964053272015,,,
SEE970099441988,3238,13.774158,51.633491,500,500,,Windpark Betten,888,65,40.3,EEG992203215100,,,
SEE963600040190,24885,9.428625,54.64177,3300,3300,SGE966080768219,Windpark Jalm,888,94,112,EEG935883626101,,,
SEE991206653506,76863,8.231607,49.169511,3300,3300,SGE916871777005,CEE Windpark Gollenberg,888,137,126,EEG928345008836,,,
SEE955412335601,48231,7.973658,51.894915,2300,2300,SGE932927469137,Windkraftanlage Flintrup 3,888,98,82,EEG981860366096,,,
SEE984933961297,4910,13.482103,51.481418,600,600,,Haida Wind GbR,888,60,50,EEG964747309324,,,
SEE932863275762,24885,9.433072,54.644023,3300,3300,SGE905943060220,Windpark Jalm,888,94,112,EEG911223430744,,,
SEE935153666578,24885,9.433819,54.640913,3300,3300,SGE990937838831,Windpark Jalm,888,94,112,EEG939363711011,,,
SEE904442140594,24885,9.442822,54.646989,3300,3300,SGE928839611399,Windpark Jalm,888,94,112,EEG911777769574,,,
SEE903469951565,24885,9.444132,54.642912,3300,3300,SGE918284447568,Windpark Jalm,888,94,112,EEG988717849917,,,
SEE909659525608,25862,,,6,6,,Stop3,888,19,4,EEG900040272637,,,
SEE912448749468,24885,9.447283,54.645503,3300,3300,SGE910070407503,Windpark Jalm,888,94,112,EEG996791048522,,,
SEE933316124781,4736,13,51,600,600,,Windkraft Kaiserburg,888,60,43,EEG993526125909,,,
SEE960491639571,48720,7.215278,52.002319,3300,3300,SGE957575202622,Rosendahl-Midlich,888,134,131,EEG916154630225,,,
SEE969499683333,3253,13.456471,51.667511,500,500,,Windpark D??brichen,888,65,40,EEG981270296990,,,
SEE971809285625,47638,6.274085,51.476381,2400,2400,SGE900302391342,,888,,117,EEG944545715879,,,
SEE905218120048,25709,8.948659,53.965273,2000,2000,SGE978952054498,Windpark Westerfleth Kronprinzenkoog,888,64,71,EEG903914584287,,,
SEE923760671450,25709,8.977375,53.958914,2000,2000,SGE923015107475,Windpark Sophienhof Kronprinzenkoog,888,80,92.5,EEG998702362512,,,
SEE981474666483,25821,9.014928,54.595275,3200,3200,SGE962555511304,Geestpark Almdorf,888,92.5,113,EEG908216559964,,,
SEE965031306227,,13.160425,54.962493,3780,3780,SGE992866201397,Baltic 2,889,78.25,120,EEG983801783146,,,1542
SEE944644128761,17498,13.355039,54.065692,3075,3075,SGE982693359194,Repowering WP Helmshagen,888,94,112,EEG905307480763,,,
SEE962060710131,,13.151636,55.005332,3780,3780,SGE924728207131,Baltic 2,889,78.25,120,EEG962708256267,,,1542
SEE937914621833,48336,8.071862,52.065755,2000,2000,SGE956428186737,F??chtorf,888,,,EEG944854245227,,,
SEE927322705157,,13.154372,54.999745,3780,3780,SGE903337989508,Baltic 2,889,78.25,120,EEG912782231582,,,1542
SEE972852725977,,13.156961,54.993942,3780,3780,SGE954971740949,Baltic 2,889,78.25,120,EEG941117045358,,,1542
SEE923564512102,17498,13.362674,54.060394,3075,3075,SGE982693359194,Repowering WP Helmshagen,888,94,112,EEG948863787068,,,
SEE958836089396,76879,8.24701,49.176935,3300,3300,SGE986628341506,CEE Windpark Gollenberg,888,137,126,EEG972052102684,,,
SEE930899749523,34454,8.943555,51.40683,2000,2000,SGE951544588601,Windpark Massenhausen,888,105,90,EEG910363012650,,,
SEE967376733867,16307,14.394396,53.327355,3450,3450,SGE942879861422,SD Sch??nfeld,888,141.5,117,EEG980096566218,,,
